;shap;shap;shap;shap;shap;shap;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;f_val;f_val;f_val;f_val;f_val;f_val;baseline;baseline;baseline;baseline;baseline;baseline;ppfs;ppfs;ppfs;ppfs;ppfs;ppfs
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
11;0.9659490498119571;0.002116131311548363;0.9493861386138616;0.004900646373572833;0.9566596509244979;0.003805715668381717;0.9675990429864072;0.0017142931881822356;0.9566303630363036;0.0023270780769717113;0.9616349143537558;0.0017795789133945603;0.9409738448139999;0.0038342446618669906;0.917028602860286;0.007443151398066682;0.9268293070495919;0.006114550586010294;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
12;0.9664056363715542;0.004880195818990438;0.9489020902090208;0.006663326760162925;0.9565814950686653;0.0059220852104166395;0.9671081069846125;0.0029342439787385767;0.9584895489548956;0.0033334479170799157;0.9625055297243241;0.003076895151900274;0.9469644055870526;0.004446589891437921;0.9236952695269526;0.008977661182183046;0.9332078871207307;0.007383399371634979;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
13;0.9681068236833937;0.0021648709839020125;0.9519020902090208;0.003048685075765199;0.9590725089021472;0.0024150264806320327;0.9644029643934605;0.0021149436482155058;0.954953795379538;0.0028040242231020824;0.9593417117682094;0.002423425240274906;0.9490087397214075;0.004828019395750667;0.9276754675467547;0.00979136098932612;0.9364815233863334;0.008012833100605049;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
14;0.9611272162738211;0.0019139838995127555;0.9432948294829483;0.0043616441622076636;0.9510810915151916;0.003385706893201687;0.9644931440981445;0.0011854830309226826;0.9549636963696368;0.0021860227316498164;0.9593449560862203;0.0014692336101648706;0.9525524743871505;0.002439046301883481;0.9345962596259625;0.00516080627324247;0.942377181238134;0.004087567879865303;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
15;0.9648144449667413;0.0019048463706042077;0.9473762376237623;0.003283967506031649;0.9550696526458342;0.0026889576027050964;0.9671647631380458;0.0015735398288406024;0.9599240924092409;0.0013473733160547644;0.9633513902682449;0.0014037274190859914;0.9525961472144007;0.00378339144284064;0.9345863586358636;0.007303537220126197;0.9423139592972036;0.005970641783900297;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
16;0.9621574402189985;0.0011662396261036421;0.9452849284928494;0.003091889824838528;0.9527291255555304;0.002293381562436312;0.9655106379441907;0.001287429622401884;0.956943894389439;0.0012484456334633798;0.960954191867217;0.0011403240792632325;0.9531162574659839;0.0035720401090297755;0.9355764576457645;0.006879176830809284;0.9431436193823524;0.005620881631043951;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
17;0.968018973300131;0.0012961972322332058;0.9519119911991198;0.0010034759462614487;0.9590910927774751;0.0008368839457705896;0.9654764133411045;0.0023895049995155716;0.9569339933993399;0.0026435891236735944;0.9609454768041242;0.0025165610491740273;0.9568515410180837;0.002799622916883566;0.9439218921892187;0.004643721903277746;0.9497448695046972;0.0038701326614785383;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
18;0.9712195361454725;0.002006888722551583;0.9578525852585258;0.0028356891116863136;0.9639008129601286;0.002360281390650989;0.9633498142521006;0.001612187082416618;0.9543982398239823;0.0020526718008902008;0.958586228067016;0.0018344344535527744;0.9583989175957572;0.001954636854203186;0.944052805280528;0.0029215386083730225;0.9504895990668984;0.0024517707957129554;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
19;0.9680570220984892;0.0012971791403935016;0.9547612761276127;0.0016495221336631618;0.9607696525447562;0.0011314274397095376;0.9627976212590179;0.0015378510171328076;0.9534081408140814;0.001990494924984382;0.9577865308894591;0.0017609830829899671;0.9556836968555966;0.0022575458941675106;0.9405071507150715;0.0034630954324223477;0.9472842892873814;0.002953699975877947;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
20;0.9670957350110825;0.0012692805840839845;0.9542057205720571;0.004187891125976456;0.9599615439091309;0.0029214469676625905;0.9649320214593077;0.002055328891132937;0.9559438943894388;0.002163499182097118;0.9601494016988914;0.0020823294366298394;0.956773249167443;0.0019406573181191685;0.9424972497249724;0.00303786171977588;0.9489138136882339;0.0025677303038407606;0.9643223248031099;0.0012565764675806779;0.954364777355487;0.0012585738159212288;0.9589861420844688;0.0011971417604594746;0.9690464773458135;0.0027682911984594108;0.9552871287128714;0.00379585921938065;0.9615037929903159;0.0033234681143707637
