;shap;shap;shap;shap;shap;shap;f_val;f_val;f_val;f_val;f_val;f_val;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;baseline;baseline;baseline;baseline;baseline;baseline;ppfs;ppfs;ppfs;ppfs;ppfs;ppfs
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
10;0.8202329700762198;0.018388255057089305;0.8193465914086266;0.018834952896502055;0.8146280089106341;0.02069396819558186;0.27999999999999997;0.0006846531968814552;0.5;0.0;0.3589718875502008;0.0005631203804069019;0.747130806182987;0.02052267951729547;0.740943388169215;0.01874594939379795;0.736517461808433;0.02107128134810175;0.789291561463305;0.005204583536389793;0.7923378556210052;0.005338179527039572;0.7899320852295576;0.00516348752329535;0.8258634647338112;0.007192282108973622;0.8286961720384731;0.00733646516200673;0.8218902282818391;0.008277481873190617
100;0.8544579428043413;0.013301564288747429;0.8530035142188964;0.012940743167202886;0.852787298102953;0.01322410314680013;0.7333973314055988;0.005299939394442794;0.7315685373162824;0.006065750746503589;0.7224396480621182;0.006825533290097725;0.798962031761077;0.019078360498756004;0.7957851980798649;0.016667495191851733;0.7918132657657626;0.018706387638768245;0.789291561463305;0.005204583536389793;0.7923378556210052;0.005338179527039572;0.7899320852295576;0.00516348752329535;0.8258634647338112;0.007192282108973622;0.8286961720384731;0.00733646516200673;0.8218902282818391;0.008277481873190617
500;0.8449558356347293;0.007605520365435451;0.8466695805293686;0.007858619248690878;0.8435744431601201;0.008255451403774304;0.7238758282950666;0.007861730557760847;0.7169158270471769;0.007303860597556962;0.7160016965880902;0.00936412065009089;0.8216081199931864;0.01417168489288135;0.8218854952436215;0.013812048121653257;0.8204289255208608;0.014700487043864492;0.789291561463305;0.005204583536389793;0.7923378556210052;0.005338179527039572;0.7899320852295576;0.00516348752329535;0.8258634647338112;0.007192282108973622;0.8286961720384731;0.00733646516200673;0.8218902282818391;0.008277481873190617
1000;0.807601229983295;0.014317517414410874;0.8077518293280281;0.012786289371308207;0.8064891271932687;0.013191755181304865;0.7444409991945589;0.013641544109744481;0.7375744353763029;0.010785058586166529;0.7379658585936062;0.011980589453724735;0.8006926443281497;0.015847984174488305;0.8032440083698195;0.01612690855550902;0.7998000642134334;0.01677628827501832;0.789291561463305;0.005204583536389793;0.7923378556210052;0.005338179527039572;0.7899320852295576;0.00516348752329535;0.8258634647338112;0.007192282108973622;0.8286961720384731;0.00733646516200673;0.8218902282818391;0.008277481873190617
3000;0.7821059636889743;0.013455258525148735;0.7854233767147203;0.013490626646447516;0.7813405987837213;0.013658476902966338;0.7688368504182984;0.015378074223385503;0.7713567547607745;0.015027912926038988;0.7674439297321076;0.015573599944486616;0.7902921021056579;0.017292195113134963;0.7937729246892089;0.017468497018457946;0.7900179728479998;0.017598777729367396;0.789291561463305;0.005204583536389793;0.7923378556210052;0.005338179527039572;0.7899320852295576;0.00516348752329535;0.8258634647338112;0.007192282108973622;0.8286961720384731;0.00733646516200673;0.8218902282818391;0.008277481873190617
5000;0.7854807098016398;0.014298965645532437;0.7887442256535468;0.014514052724102324;0.7849851064882744;0.014743006240784357;0.7693822437143949;0.011420902860684957;0.7721379211599183;0.011305864761653062;0.7685692131354924;0.0117205484469253;0.7879915346005417;0.016971002462304728;0.7912235460201911;0.017295763695807882;0.7874770365217094;0.0176496095215766;0.789291561463305;0.005204583536389793;0.7923378556210052;0.005338179527039572;0.7899320852295576;0.00516348752329535;0.8258634647338112;0.007192282108973622;0.8286961720384731;0.00733646516200673;0.8218902282818391;0.008277481873190617
8000;0.7801645823244667;0.01468273256960712;0.7830576969934463;0.014864184625364096;0.7797853295766008;0.01524777567407158;0.771066479208413;0.012465110611510491;0.7734153987595989;0.012492786400499998;0.7707233763899198;0.013055150464067643;0.7816297971649253;0.015364334999481978;0.7847711236206252;0.015664627790198858;0.7811567904362395;0.015851559101556376;0.789291561463305;0.005204583536389793;0.7923378556210052;0.005338179527039572;0.7899320852295576;0.00516348752329535;0.8258634647338112;0.007192282108973622;0.8286961720384731;0.00733646516200673;0.8218902282818391;0.008277481873190617
