;shap;mutual_information;f_val;ppfs
10;8.323325;11.857265;0.070953;5392
100;11.224910000000001;11.989546;0.06549200000000001;5392
500;9.941061000000001;12.024775;0.066973;5392
1000;11.176744000000001;12.044606;0.067593;5392
3000;9.692487;12.04611;0.066735;5392
5000;9.770951;12.033047000000002;0.065207;5392
8000;9.579412000000001;12.003698;0.06622700000000001;5392
