;lfs;f_val;mutual_information
1;0.0;0.0;1.0
2;0.0;0.3333333333333333;0.3333333333333333
3;0.0;1.0;0.5
4;0.0;0.3333333333333333;0.6
5;0.25;0.42857142857142855;0.42857142857142855
6;0.3333333333333333;0.3333333333333333;0.3333333333333333
7;0.4;0.5555555555555556;0.75
8;0.45454545454545453;0.45454545454545453;0.7777777777777778
9;0.5;0.8;0.5
10;0.6666666666666666;0.5384615384615384;0.6666666666666666
11;0.6923076923076923;0.6923076923076923;0.8333333333333334
12;0.8461538461538461;0.8461538461538461;1.0
