;tfidf;tfidf;tfidf;tfidf;tfidf;tfidf;shap;shap;shap;shap;shap;shap;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;mutual_information;chi2;chi2;chi2;chi2;chi2;chi2;term_strength;term_strength;term_strength;term_strength;term_strength;term_strength;baseline;baseline;baseline;baseline;baseline;baseline
;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std;precision_mean;precision_std;recall_mean;recall_std;f1-score_mean;f1-score_std
100;0.9936700537507999;0.0003361706137515996;0.9950875775662551;0.00029766853708574644;0.9943553502498179;0.00031958621956614403;0.9935300872864381;0.0005640530535575387;0.995276103203968;0.0004354549574565425;0.9943806414288643;0.0005015413675942572;0.9933450539749028;0.00020359966064058664;0.9951335739482292;0.0001582779113003065;0.9942122985686195;0.00017336997508583997;0.99278690722451;0.00023329931685259228;0.9939512248927429;0.00035057440764972483;0.9933370619126984;0.0002806515495693861;0.9935289408612167;0.0003263013656654251;0.995234178057242;0.0003310198969572714;0.994358825162409;0.0003305790204583384;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
500;0.9947213250544145;0.0004359350020364043;0.9959249524783;0.0002544992074904812;0.9953022196771618;0.0003454219974005028;0.9946738946436036;0.00043675168920084015;0.9954200457018245;0.00041417322795504443;0.9950246280086397;0.0003914964430547343;0.995111995364675;0.0004227889522740908;0.9963029101142868;0.00032986807709498044;0.9956879239125735;0.00037773178325777685;0.9930449389086785;0.00042889535997454685;0.9943348813854384;0.0002538727765910651;0.9936556012104372;0.00031499877660450746;0.9961079312605472;0.0002325064797417681;0.997096969405758;0.00016951806022549043;0.9965902790249543;0.000198568182530317;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
1000;0.9950606615186036;0.0002690215386660643;0.9960603037197038;0.00017976128207082963;0.9955409913194101;0.00021189113576245146;0.994990553198743;0.0004038281351560763;0.9958363733083727;0.00042865087772410134;0.9953898167867214;0.00039691570474281946;0.9961486369750622;0.0002643872056072002;0.9968694926090638;0.0002554566202452764;0.9964960851684028;0.0002593519662668031;0.9935501888652756;0.00047381095933273805;0.9948905067095909;0.0003506437139433972;0.9941910161626024;0.0004176177644826174;0.9975917314029031;0.00017633448978116343;0.997575447423241;0.00023686915977599518;0.9975753559792684;0.0001742071081850491;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
5000;0.9876068917621993;0.0004542693980207752;0.9787442215694553;0.001500155231823699;0.9824079277325894;0.001119273790134632;0.9966465899718674;0.00026054749988308243;0.9963757316999438;0.00029603106738685097;0.9964984090011703;0.0002016049410278077;0.9956617190438406;0.00016156421418917844;0.994670978049176;0.00039813400585921575;0.9951453668211062;0.0002457694558640972;0.9920438969626024;0.0003537811167302606;0.9939471432514482;0.00031091257226156674;0.9929600715331229;0.0003134052064276269;0.9890114556498342;0.0015734352750491685;0.9951130345818834;0.00038356154546147957;0.9916228407124669;0.0007377598638278343;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
10000;0.9101032343038499;0.003077184316283363;0.8781132997618635;0.0015835566001767137;0.8815039243727234;0.0016589093145697338;0.9939102002495682;0.00041436656291907805;0.9938194021838758;0.00034026357395660776;0.9938332016174034;0.00033645131287956165;0.9695535008893351;0.003648886238156262;0.9727813893534953;0.0010485624957413974;0.9683442827308152;0.003095306822593437;0.9843547456232831;0.0008119369879513497;0.986094149857154;0.0003094048029037783;0.985111847888839;0.00044160859534261;0.9786427908481145;0.0005252222278266348;0.9748572043425738;0.000943368127123917;0.9751011986756234;0.00067939296627745;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
20000;0.6144369435097397;0.004883402200601174;0.6176631193836033;0.005147780031605259;0.6048411491095275;0.006381897345643684;0.967609452382131;0.002654084271232013;0.9732680482276737;0.0005919028670898697;0.9698211016459167;0.001683122081998598;0.7129053173425002;0.01007212385547575;0.6238880031832142;0.009183197979505573;0.6354044800836187;0.008153344080471534;0.7734966078785449;0.0033751083119039163;0.7418102218156011;0.00570321978965609;0.7432301636748135;0.0034798396406862655;0.9327373402298035;0.00900961918788504;0.8622792574166104;0.011800627801427337;0.88532746686602;0.009639826727602894;0.9924316623782607;0.0003327398580243089;0.9935493382564735;0.00033055618468403534;0.9929624236588204;0.00030546079973417826
